DATE,DAUPNSA
1993-01-01,453.3
1993-02-01,499.3
1993-03-01,589.5
1993-04-01,538.6
1993-05-01,548.4
1993-06-01,559.5
1993-07-01,297.9
1993-08-01,437.1
1993-09-01,461.9
1993-10-01,547.6
1993-11-01,551.3
1993-12-01,494.3
1994-01-01,529.7
1994-02-01,584.2
1994-03-01,658.6
1994-04-01,564.1
1994-05-01,608.3
1994-06-01,613.7
1994-07-01,284.5
1994-08-01,539.6
1994-09-01,558.9
1994-10-01,593.3
1994-11-01,550.7
1994-12-01,515.6
1995-01-01,547.2
1995-02-01,582.5
1995-03-01,677.3
1995-04-01,519.4
1995-05-01,580.5
1995-06-01,573.7
1995-07-01,288.3
1995-08-01,504.4
1995-09-01,522.4
1995-10-01,579.0
1995-11-01,516.7
1995-12-01,434.7
1996-01-01,472.8
1996-02-01,541.2
1996-03-01,420.8
1996-04-01,565.1
1996-05-01,610.7
1996-06-01,575.9
1996-07-01,368.6
1996-08-01,543.0
1996-09-01,518.2
1996-10-01,547.4
1996-11-01,489.1
1996-12-01,382.4
1997-01-01,483.8
1997-02-01,511.8
1997-03-01,500.8
1997-04-01,553.7
1997-05-01,533.6
1997-06-01,496.1
1997-07-01,340.1
1997-08-01,490.4
1997-09-01,496.9
1997-10-01,573.7
1997-11-01,466.8
1997-12-01,430.6
1998-01-01,433.8
1998-02-01,456.7
1998-03-01,510.7
1998-04-01,476.1
1998-05-01,481.1
1998-06-01,407.5
1998-07-01,233.9
1998-08-01,505.8
1998-09-01,545.6
1998-10-01,564.3
1998-11-01,442.4
1998-12-01,434.4
1999-01-01,422.4
1999-02-01,452.5
1999-03-01,548.1
1999-04-01,490.6
1999-05-01,476.2
1999-06-01,511.0
1999-07-01,283.0
1999-08-01,495.9
1999-09-01,492.7
1999-10-01,511.7
1999-11-01,480.0
1999-12-01,413.4
2000-01-01,443.6
2000-02-01,482.4
2000-03-01,547.5
2000-04-01,449.0
2000-05-01,527.4
2000-06-01,520.9
2000-07-01,279.6
2000-08-01,513.2
2000-09-01,475.0
2000-10-01,497.2
2000-11-01,411.9
2000-12-01,323.3
2001-01-01,404.0
2001-02-01,386.0
2001-03-01,469.8
2001-04-01,414.3
2001-05-01,488.1
2001-06-01,443.6
2001-07-01,249.6
2001-08-01,430.5
2001-09-01,373.9
2001-10-01,433.0
2001-11-01,394.2
2001-12-01,321.1
2002-01-01,410.823
2002-02-01,434.705
2002-03-01,438.266
2002-04-01,476.148
2002-05-01,486.557
2002-06-01,441.736
2002-07-01,309.98
2002-08-01,426.448
2002-09-01,406.204
2002-10-01,458.84
2002-11-01,375.071
2002-12-01,292.599
2003-01-01,421.974
2003-02-01,365.927
2003-03-01,389.268
2003-04-01,376.46
2003-05-01,401.195
2003-06-01,386.038
2003-07-01,263.888
2003-08-01,358.767
2003-09-01,415.574
2003-10-01,432.16
2003-11-01,337.061
2003-12-01,305.057
2004-01-01,321.935
2004-02-01,366.46
2004-03-01,422.12
2004-04-01,385.139
2004-05-01,348.367
2004-06-01,369.215
2004-07-01,234.842
2004-08-01,374.617
2004-09-01,374.674
2004-10-01,350.248
2004-11-01,317.542
2004-12-01,300.766
2005-01-01,339.913
2005-02-01,371.977
2005-03-01,385.851
2005-04-01,376.201
2005-05-01,363.211
2005-06-01,402.314
2005-07-01,227.195
2005-08-01,399.238
2005-09-01,378.328
2005-10-01,374.884
2005-11-01,344.082
2005-12-01,302.678
2006-01-01,365.435
2006-02-01,368.53
2006-03-01,443.765
2006-04-01,353.129
2006-05-01,400.828
2006-06-01,380.735
2006-07-01,217.985
2006-08-01,396.422
2006-09-01,367.399
2006-10-01,396.014
2006-11-01,331.928
2006-12-01,289.526
2007-01-01,348.791
2007-02-01,326.893
2007-03-01,352.25
2007-04-01,313.83
2007-05-01,340.819
2007-06-01,348.113
2007-07-01,244.77
2007-08-01,355.717
2007-09-01,288.245
2007-10-01,370.148
2007-11-01,323.43
2007-12-01,254.262
2008-01-01,338.178
2008-02-01,338.958
2008-03-01,324.424
2008-04-01,324.28
2008-05-01,301.212
2008-06-01,321.989
2008-07-01,281.428
2008-08-01,342.983
2008-09-01,346.904
2008-10-01,366.004
2008-11-01,238.197
2008-12-01,206.684
2009-01-01,100.534
2009-02-01,136.082
2009-03-01,173.212
2009-04-01,155.951
2009-05-01,143.667
2009-06-01,160.157
2009-07-01,143.647
2009-08-01,220.196
2009-09-01,256.799
2009-10-01,279.705
2009-11-01,221.302
2009-12-01,204.336
2010-01-01,216.586
2010-02-01,232.102
2010-03-01,263.419
2010-04-01,232.252
2010-05-01,245.779
2010-06-01,248.911
2010-07-01,173.376
2010-08-01,244.805
2010-09-01,238.422
2010-10-01,239.726
2010-11-01,219.329
2010-12-01,176.398
2011-01-01,195.425
2011-02-01,228.745
2011-03-01,282.702
2011-04-01,213.24
2011-05-01,236.472
2011-06-01,242.696
2011-07-01,163.142
2011-08-01,294.424
2011-09-01,264.011
2011-10-01,309.72
2011-11-01,281.689
2011-12-01,264.725
2012-01-01,320.355
2012-02-01,343.261
2012-03-01,363.745
2012-04-01,339.702
2012-05-01,370.914
2012-06-01,353.625
2012-07-01,274.595
2012-08-01,388.803
2012-09-01,331.766
2012-10-01,410.782
2012-11-01,351.051
2012-12-01,260.414
2013-01-01,374.561
2013-02-01,363.011
2013-03-01,385.243
2013-04-01,394.779
2013-05-01,397.031
2013-06-01,369.376
2013-07-01,250.272
2013-08-01,390.466
2013-09-01,376.291
2013-10-01,428.698
2013-11-01,358.742
2013-12-01,280.365
2014-01-01,358.465
2014-02-01,360.8
2014-03-01,374.258
2014-04-01,351.394
2014-05-01,344.889
2014-06-01,379.093
2014-07-01,299.443
2014-08-01,367.428
2014-09-01,372.272
2014-10-01,396.355
2014-11-01,327.832
2014-12-01,320.869
2015-01-01,326.281
2015-02-01,321.911
2015-03-01,400.323
2015-04-01,377.861
2015-05-01,370.783
2015-06-01,369.935
2015-07-01,308.954
2015-08-01,357.3
2015-09-01,360.027
2015-10-01,379.396
2015-11-01,312.02
2015-12-01,278.017
2016-01-01,307.761
2016-02-01,348.476
2016-03-01,353.142
2016-04-01,339.65
2016-05-01,322.111
2016-06-01,376.255
2016-07-01,245.279
2016-08-01,372.11
2016-09-01,343.01
2016-10-01,333.624
2016-11-01,315.353
2016-12-01,259.813
2017-01-01,275.973
2017-02-01,280.456
2017-03-01,296.621
2017-04-01,263.979
2017-05-01,303.148
2017-06-01,273.794
2017-07-01,160.328
2017-08-01,279.502
2017-09-01,224.722
2017-10-01,252.414
2017-11-01,236.184
2017-12-01,186.095
2018-01-01,218.716
2018-02-01,245.386
2018-03-01,268.905
2018-04-01,257.238
2018-05-01,248.926
2018-06-01,228.779
2018-07-01,154.407
2018-08-01,236.703
2018-09-01,216.665
2018-10-01,272.859
2018-11-01,237.903
2018-12-01,198.677
2019-01-01,235.067
2019-02-01,223.361
